Experiences {Survived(1)/died(0)},"Social Class(1st, 2nd and 3rd)",Name
0,3,Mr. Eberhard Thelander Fischer
1,1,Miss. Georgette Alexandra Madill
1,1,Mr. Albert Adrian Dick
1,3,Miss. Manca Karun
1,3,Mr. Ali Lam
0,3,Mr. Khalil Saad
0,1,Col. John Weir
0,2,Mr. Charles Henry Chapman
0,3,Mr. James Kelly
1,3,Miss. Katherine Mullens
0,1,Mr. John Borland Thayer
0,3,Mr. Adolf Mathias Nicolai Olsen Humblen
1,1,Mrs. John Jacob (Madeleine Talmadge Force) Astor
1,1,Mr. Spencer Victor Silverthorne
0,3,Miss. Saiide Barbara
0,3,Mr. Martin Gallagher
0,3,Mr. Henrik Juul Hansen
0,2,Mr. Henry Samuel Morley
1,2,Mrs. Florence Kelly
1,1,Mr. Edward Pennington Calderhead
1,1,Miss. Alice Cleaver
1,3,Master. Halim Gonios Moubarek
1,1,Mlle. Berthe Antonine Mayne
0,1,Mr. Herman Klaber
1,1,Mr. Elmer Zebley Taylor
0,3,Mr. August Viktor Larsson
0,2,Mr. Samuel Greenberg
0,3,Mr. Peter Andreas Lauritz Andersen Soholt
1,1,Miss. Caroline Louise Endres
1,2,Miss. Edwina Celia Troutt
0,3,Mr. Malkolm Joackim Johnson
1,2,Miss. Annie Jessie Harper
0,3,Mr. Svend Lauritz Jensen
0,2,Mr. William Henry Gillespie
0,2,Mr. Henry Price Hodges
1,1,Mr. Norman Campbell Chambers
0,3,Mr. Luka Oreskovic
1,2,Mrs. Peter Henry (Lillian Jefferys) Renouf
1,3,Miss. Margareth Mannion
0,2,Mr. Kurt Arnold Gottfrid Bryhl
0,3,Miss. Pieta Sofia Ilmakangas
1,1,Miss. Elisabeth Walton Allen
0,3,Mr. Houssein G N Hassan
0,2,Mr. Robert J Knight
0,2,Mr. William John Berriman
0,2,Mr. Moses Aaron Troupiansky
0,3,Mr. Leslie Williams
0,3,Mrs. Edward (Margaret Ann Watson) Ford
1,1,Mr. Gustave J Lesurer
0,3,Mr. Kanio Ivanoff
0,3,Mr. Minko Nankoff
1,1,Mr. Walter James Hawksford
0,1,Mr. Tyrell William Cavendish
1,1,Miss. Susan Parker Ryerson
0,3,Mr. Neal McNamee
1,3,Mr. Juho Stranden
0,1,Capt. Edward Gifford Crosby
0,3,Mr. Rossmore Edward Abbott
1,2,Miss. Anna Sinkkonen
0,1,Mr. Daniel Warner Marvin
0,3,Mr. Michael Connaghton
1,2,Miss. Joan Wells
1,3,Master. Meier Moor
0,3,Mr. Johannes Joseph Vande Velde
0,3,Mr. Lalio Jonkoff
1,2,Mrs. Samuel (Jane Laver) Herman
1,2,Master. Viljo Hamalainen
0,3,Mr. August Sigfrid Carlsson
0,2,Mr. Percy Andrew Bailey
0,3,Mr. Thomas Leonard Theobald
1,1,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes
0,3,Mr. John Garfirth
0,3,Mr. Iisakki Antino Aijo Nirva
1,3,Mr. Hanna Assi Barah
1,1,Mrs. William Ernest (Lucile Polk) Carter
0,3,Mr. Hans Linus Eklund
1,1,Mrs. John C (Anna Andrews) Hogeboom
0,1,Dr. Arthur Jackson Brewe
0,3,Miss. Mary Mangan
0,3,Mr. Daniel J Moran
0,3,Mr. Daniel Danielsen Gronnestad
0,3,Mr. Rene Aime Lievens
0,3,Mr. Niels Peder Jensen
0,2,Mrs. (Mary) Mack
0,3,Mr. Dibo Elias
1,2,Mrs. Elizabeth (Eliza Needs) Hocking
0,3,Mr. Pehr Fabian Oliver Malkolm Myhrman
0,3,Mr. Roger Tobin
1,3,Miss. Virginia Ethel Emanuel
0,3,Mr. Thomas J Kilgannon
1,1,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert
1,3,Miss. Banoura Ayoub
1,1,Mrs. Albert Adrian (Vera Gillespie) Dick
0,1,Mr. Milton Clyde Long
0,3,Mr. Andrew G Johnston
0,3,Mr. William Ali
0,3,Mr. Abraham (David Lishin) Harmer
1,3,Miss. Anna Sofia Sjoblom
0,3,Master. George Hugh Rice
1,3,Master. Bertram Vere Dean
0,1,Mr. Benjamin Guggenheim
0,3,Mr. Andrew Keane
0,2,Mr. Alfred Gaskell
0,3,Miss. Stella Anna Sage
0,1,Mr. William Fisher Hoyt
0,3,Mr. Ristiu Dantcheff
0,2,Mr. Richard Otter
1,1,Dr. Alice (Farnham) Leader
1,3,Mrs. Mara Osman
0,3,Mr. Yousseff Ibrahim Shawah
0,3,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe
0,2,Mr. Martin Ponesell
1,2,Mrs. Harvey (Charlotte Annie Tate) Collyer
1,1,Master. William Thornton II Carter
1,3,Master. Assad Alexander Thomas
1,3,Mr. Oskar Arvid Hedman
0,3,Mr. Karl Johan Johansson
0,1,Mr. Thomas Jr Andrews
0,3,Miss. Ellen Natalia Pettersson
0,2,Mr. August Meyer
1,1,Mrs. Norman Campbell (Bertha Griggs) Chambers
0,3,Mr. William Alexander
0,3,Mr. James Lester
0,2,Mr. Richard James Slemen
0,3,Miss. Ebba Iris Alfrida Andersson
0,3,Mr. Ernest Portage Tomlin
0,1,Mr. Richard Fry
0,3,Miss. Wendla Maria Heininen
0,2,Mr. Albert Mallet
0,3,Mr. John Fredrik Alexander Holm
0,3,Master. Karl Thorsten Skoog
1,1,Mrs. Charles Melville (Clara Jennings Gregg) Hays
1,3,Mr. Nikola Lulic
0,1,Jonkheer. John George Reuchlin
1,3,Mrs. (Beila) Moor
0,3,Master. Urho Abraham Panula
0,3,Mr. John Flynn
0,3,Mr. Len Lam
1,2,Master. Andre Mallet
1,3,Mr. Thomas Joseph McCormack
1,1,Mrs. George Nelson (Martha Evelyn) Stone
1,3,Mrs. Antoni (Selini Alexander) Yasbeck
1,2,Master. George Sibley Richards
0,3,Mr. Amin Saad
0,3,Mr. Albert Augustsson
0,3,Mr. Owen George Allum
1,1,Miss. Sara Rebecca Compton
0,3,Mr. Jakob Pasic
0,3,Mr. Maurice Sirota
1,3,Mr. Chang Chip
1,1,Mr. Pierre Marechal
0,3,Mr. Ilmari Rudolf Alhomaki
0,2,Mr. Thomas Charles Mudd
1,1,Miss. Augusta Serepeca
0,3,Mr. Peter L Lemberopolous
0,3,Mr. Jeso Culumovic
0,3,Mr. Anthony Abbing
0,3,Mr. Douglas Bullen Sage
0,3,Mr. Marin Markoff
0,2,Rev. John Harper
1,1,Mrs. Samuel L (Edwiga Grabowska) Goldenberg
0,3,Master. Sigvard Harald Elias Andersson
0,3,Mr. Johan Svensson
0,3,Miss. Nourelain Boulos
1,1,Miss. Mary Conover Lines
0,2,Mrs. Ernest Courtenay (Lilian Hughes) Carter
1,3,Mrs. Sam (Leah Rosen) Aks
1,1,Mrs. George Dennick (Mary Hitchcock) Wick
1,1,Mr. Peter Denis Daly
1,3,Mrs. Solomon (Latifa Qurban) Baclini
0,3,Mr. Raihed Razi
0,3,Mr. Claus Peter Hansen
0,2,Mr. Frederick Edward Giles
1,1,Mrs. Frederick Joel (Margaret Welles Barron) Swift
0,3,Miss. Dorothy Edith Sage
0,2,Mr. John William Gill
1,2,Mrs. (Karolina) Bystrom
1,2,Miss. Asuncion Duran y More
0,1,Mr. Washington Augustus II Roebling
0,3,Mr. Philemon van Melkebeke
1,3,Master. Harold Theodor Johnson
0,3,Mr. Cerin Balkic
1,1,Mrs. Richard Leonard (Sallie Monypeny) Beckwith
0,1,Mr. Frans Olof Carlsson
0,3,Mr. Victor Vander Cruyssen
1,2,Mrs. Samuel (Hannah Wizosky) Abelson
1,3,Miss. Adele Kiamie Najib
0,3,Mr. Alfred Ossian Gustafsson
0,3,Mr. Nedelio Petroff
0,3,Mr. Kristo Laleff
1,1,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter
1,2,Mrs. William (Imanita Parrish Hall) Shelley
0,3,Mr. Johann Markun
0,3,Miss. Gerda Ulrika Dahlberg
0,2,Mr. Frederick James Banfield
0,3,Mr. Henry Jr Sutehall
0,3,Mrs. William (Margaret Norton) Rice
0,2,Rev. Juozas Montvila
1,1,Miss. Margaret Edith Graham
0,3,Miss. Catherine Helen Johnston
1,1,Mr. Karl Howell Behr
0,3,Mr. Patrick Dooley
